metric,value,unit,period,segment,basis,source
Postpaid ARPU,15.73,GBP/month,2023,postpaid,measured,Ofcom/Statista
Prepaid ARPU,5.18,GBP/month,2023,prepaid,measured,Ofcom/Statista
VMO2 total connections,45.7,million,2024,all,measured,Virgin Media O2
5G SA population coverage,83.0,%,2025,all,measured,Ofcom Connected Nations 2025
Mobile data usage growth,18.0,% YoY,2025,all,measured,Ofcom
MVNO consumer share (Sky+Tesco),15.0,% (>),2025,MVNO,measured,market reports
Acquisition+retention spend,17.5,% of revenue,2025,all,measured,industry est. 15-20%
UK telecom digital ad spend,420.0,USD million,2023,all,measured,SensorTower
Smarty ad-spend growth,90.0,% YoY,2023,MVNO,measured,SensorTower
Three ad-spend growth,60.0,% YoY,2023,MNO,measured,SensorTower
eSIM acquisition-cost saving,30.0,% (~),2025,all,measured,industry est.
Online share of acquisition,35.0,%,2025,all,measured,industry est.
Cost per acquisition (SIM),18.0,GBP (est),2026,all,modelled,placeholder
